file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_no_shebang,Passed,NO MESSAGE,,,,153,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_version,Passed,NO MESSAGE,,,,153,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_contents,Failed,UnicodeDecodeError: &#x27;utf-8&#x27; codec can&#x27;t decode byte 0xba in position 10: invalid start byte,"[""E                   UnicodeDecodeError: 'utf-8' codec can't decode byte 0xba in position 10: invalid start byte"", 'tests/test_virtualenv_clone.py:74: UnicodeDecodeError']",,,153,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_exists,Passed,NO MESSAGE,,,,153,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_1_arg,Passed,NO MESSAGE,,,,153,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_bad_src,Passed,NO MESSAGE,,,,153,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_no_args,Passed,NO MESSAGE,,,,153,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,153,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_version,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,153,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,153,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_versions,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,153,,same
,tests.test_dirmatch.TestVirtualenvDirmatch,test_dirmatch,Passed,NO MESSAGE,,,,25,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_abs_link,Passed,NO MESSAGE,,,,25,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_activate,Passed,NO MESSAGE,,,,25,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_pth_file,Passed,NO MESSAGE,,,,25,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_rel_link,Passed,NO MESSAGE,,,,25,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_,Passed,NO MESSAGE,,,,25,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_different_version,Passed,NO MESSAGE,,,,25,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_no_shebang,Passed,NO MESSAGE,,,,25,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_version,Passed,NO MESSAGE,,,,25,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_contents,Failed,UnicodeDecodeError: &#x27;utf-8&#x27; codec can&#x27;t decode byte 0xba in position 10: invalid start byte,"[""E                   UnicodeDecodeError: 'utf-8' codec can't decode byte 0xba in position 10: invalid start byte"", 'tests/test_virtualenv_clone.py:74: UnicodeDecodeError']",,,25,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_exists,Passed,NO MESSAGE,,,,25,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_1_arg,Passed,NO MESSAGE,,,,25,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_bad_src,Passed,NO MESSAGE,,,,25,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_no_args,Passed,NO MESSAGE,,,,25,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,25,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_version,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,25,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,25,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_versions,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,25,,same
,tests.test_dirmatch.TestVirtualenvDirmatch,test_dirmatch,Passed,NO MESSAGE,,,,82,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_abs_link,Passed,NO MESSAGE,,,,82,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_activate,Passed,NO MESSAGE,,,,82,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_pth_file,Passed,NO MESSAGE,,,,82,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_rel_link,Passed,NO MESSAGE,,,,82,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_,Passed,NO MESSAGE,,,,82,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_different_version,Passed,NO MESSAGE,,,,82,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_no_shebang,Passed,NO MESSAGE,,,,82,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_version,Passed,NO MESSAGE,,,,82,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_contents,Failed,UnicodeDecodeError: &#x27;utf-8&#x27; codec can&#x27;t decode byte 0xba in position 10: invalid start byte,"[""E                   UnicodeDecodeError: 'utf-8' codec can't decode byte 0xba in position 10: invalid start byte"", 'tests/test_virtualenv_clone.py:74: UnicodeDecodeError']",,,82,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_exists,Passed,NO MESSAGE,,,,82,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_1_arg,Passed,NO MESSAGE,,,,82,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_bad_src,Passed,NO MESSAGE,,,,82,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_no_args,Passed,NO MESSAGE,,,,82,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,82,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_version,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,82,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,82,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_versions,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,82,,same
,tests.test_dirmatch.TestVirtualenvDirmatch,test_dirmatch,Passed,NO MESSAGE,,,,143,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_abs_link,Passed,NO MESSAGE,,,,143,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_activate,Passed,NO MESSAGE,,,,143,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_pth_file,Passed,NO MESSAGE,,,,143,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_rel_link,Passed,NO MESSAGE,,,,143,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_,Passed,NO MESSAGE,,,,143,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_different_version,Passed,NO MESSAGE,,,,143,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_no_shebang,Passed,NO MESSAGE,,,,143,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_version,Passed,NO MESSAGE,,,,143,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_contents,Failed,UnicodeDecodeError: &#x27;utf-8&#x27; codec can&#x27;t decode byte 0xba in position 10: invalid start byte,"[""E                   UnicodeDecodeError: 'utf-8' codec can't decode byte 0xba in position 10: invalid start byte"", 'tests/test_virtualenv_clone.py:74: UnicodeDecodeError']",,,143,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_exists,Passed,NO MESSAGE,,,,143,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_1_arg,Passed,NO MESSAGE,,,,143,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_bad_src,Passed,NO MESSAGE,,,,143,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_no_args,Passed,NO MESSAGE,,,,143,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,143,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_version,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,143,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,143,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_versions,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,143,,same
,tests.test_dirmatch.TestVirtualenvDirmatch,test_dirmatch,Passed,NO MESSAGE,,,,53,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_abs_link,Passed,NO MESSAGE,,,,53,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_activate,Passed,NO MESSAGE,,,,53,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_pth_file,Passed,NO MESSAGE,,,,53,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_rel_link,Passed,NO MESSAGE,,,,53,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_,Passed,NO MESSAGE,,,,53,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_different_version,Passed,NO MESSAGE,,,,53,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_no_shebang,Passed,NO MESSAGE,,,,53,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_version,Passed,NO MESSAGE,,,,53,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_contents,Failed,UnicodeDecodeError: &#x27;utf-8&#x27; codec can&#x27;t decode byte 0xba in position 10: invalid start byte,"[""E                   UnicodeDecodeError: 'utf-8' codec can't decode byte 0xba in position 10: invalid start byte"", 'tests/test_virtualenv_clone.py:74: UnicodeDecodeError']",,,53,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_exists,Passed,NO MESSAGE,,,,53,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_1_arg,Passed,NO MESSAGE,,,,53,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_bad_src,Passed,NO MESSAGE,,,,53,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_no_args,Passed,NO MESSAGE,,,,53,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,53,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_version,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,53,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,53,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_versions,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,53,,same
,tests.test_dirmatch.TestVirtualenvDirmatch,test_dirmatch,Passed,NO MESSAGE,,,,66,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_abs_link,Passed,NO MESSAGE,,,,66,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_activate,Passed,NO MESSAGE,,,,66,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_pth_file,Passed,NO MESSAGE,,,,66,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_rel_link,Passed,NO MESSAGE,,,,66,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_,Passed,NO MESSAGE,,,,66,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_different_version,Passed,NO MESSAGE,,,,66,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_no_shebang,Passed,NO MESSAGE,,,,66,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_version,Passed,NO MESSAGE,,,,66,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_contents,Failed,UnicodeDecodeError: &#x27;utf-8&#x27; codec can&#x27;t decode byte 0xba in position 10: invalid start byte,"[""E                   UnicodeDecodeError: 'utf-8' codec can't decode byte 0xba in position 10: invalid start byte"", 'tests/test_virtualenv_clone.py:74: UnicodeDecodeError']",,,66,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_exists,Passed,NO MESSAGE,,,,66,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_1_arg,Passed,NO MESSAGE,,,,66,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_bad_src,Passed,NO MESSAGE,,,,66,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_no_args,Passed,NO MESSAGE,,,,66,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,66,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_version,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,66,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,66,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_versions,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,66,,same
,tests.test_dirmatch.TestVirtualenvDirmatch,test_dirmatch,Passed,NO MESSAGE,,,,151,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_abs_link,Passed,NO MESSAGE,,,,151,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_activate,Passed,NO MESSAGE,,,,151,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_pth_file,Passed,NO MESSAGE,,,,151,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_rel_link,Passed,NO MESSAGE,,,,151,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_,Passed,NO MESSAGE,,,,151,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_different_version,Passed,NO MESSAGE,,,,151,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_no_shebang,Passed,NO MESSAGE,,,,151,,same
,tests.test_fixup_scripts.TestFixupScripts,test_fixup_script_version,Passed,NO MESSAGE,,,,151,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_contents,Failed,UnicodeDecodeError: &#x27;utf-8&#x27; codec can&#x27;t decode byte 0xba in position 10: invalid start byte,"[""E                   UnicodeDecodeError: 'utf-8' codec can't decode byte 0xba in position 10: invalid start byte"", 'tests/test_virtualenv_clone.py:74: UnicodeDecodeError']",,,151,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_exists,Passed,NO MESSAGE,,,,151,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_1_arg,Passed,NO MESSAGE,,,,151,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_bad_src,Passed,NO MESSAGE,,,,151,,same
,tests.test_virtualenv_clone.TestVirtualenvClone,test_clone_with_no_args,Passed,NO MESSAGE,,,,151,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,151,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_clone_version,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,151,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_syspath,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,151,,same
,tests.test_virtualenv_sys.TestVirtualenvSys,test_virtualenv_versions,Failed,"AssertionError: All versions were skipped.
assert False","['E       AssertionError: All versions were skipped.', 'tests/test_virtualenv_sys.py:20: AssertionError']",,,151,,same
